Index,X Axis,V(OUT)
1,1.0000000000000002,-0.34513401625674145+0.0018923926519654813j
2,1.1220184543019636,-0.34513330644806944+0.002123298324576516j
3,1.258925411794167,-0.345132412709596+0.00238237827422604j
4,1.412537544622754,-0.34513128731623993+0.002673070085939119j
5,1.584893192461113,-0.3451298707984464+0.0029992307138222347j
6,1.7782794100389219,-0.3451280874542931+0.0033651876155545964j
7,1.9952623149688786,-0.34512584232968646+0.0037757961174699852j
8,2.238721138568338,-0.34512301580169746+0.004236503756716877j
9,2.5118864315095784,-0.3451194576910232+0.00475342244941086j
10,2.818382931264451,-0.34511497816479775+0.005333409420156745j
11,3.162277660168376,-0.3451093387656476+0.005984157959560115j
12,3.5481338923357506,-0.3451022394422804+0.006714299173684656j
13,3.981071705534968,-0.3450933019214835+0.007533516036474113j
14,4.466835921509626,-0.34508205028723865+0.008452671210921017j
15,5.0118723362727176,-0.3450678860088531+0.009483950248233808j
16,5.623413251903484,-0.3450500541693833+0.010641021934091052j
17,6.3095734448019245,-0.3450276062629614+0.01193921780142991j
18,7.07945784384137,-0.34499934701623164+0.013395732887044516j
19,7.943282347242803,-0.3449637722850759+0.01502985014981412j
20,8.912509381337442,-0.34491898907037105+0.016863191034520518j
21,9.999999999999984,-0.34486261511375566+0.018919994880806524j
22,11.220184543019615,-0.3447916512320642+0.02122742996013907j
23,12.58925411794165,-0.3447023237039756+0.023815939054248444j
24,14.125375446227517,-0.3445898846300612+0.02671962232353506j
25,15.848931924611104,-0.34444835987499656+0.029976660005005835j
26,17.782794100389193,-0.34427023426583553+0.03362977703821255j
27,19.952623149688755,-0.3440460561854557+0.037726750747507795j
28,22.387211385683347,-0.3437639424253744+0.04232096129406894j
29,25.118864315095742,-0.3434089557100483+0.04747198220715306j
30,28.18382931264447,-0.3429623283146449+0.053246205033831956j
31,31.622776601683718,-0.342400491841304+0.05971748684110188j
32,35.481338923357455,-0.3416938698976889+0.06696780200949562j
33,39.81071705534962,-0.34080537383947374+0.07508786871440051j
34,44.66835921509619,-0.33968854458653097+0.08417770594121464j
35,50.11872336272709,-0.33828526074776166+0.09434705515532434j
36,56.234132519034745,-0.33652292926954785+0.10571557166816582j
37,63.09573444801913,-0.33431106921907633+0.11841265097156038j
38,70.79457843841357,-0.33153719812312854+0.13257670190739648j
39,79.43282347242788,-0.32806194270644423+0.14835360865039685j
40,89.12509381337425,-0.32371332831166294+0.16589403437331798j
41,99.99999999999966,-0.3182802744375578+0.18534911141108662j
42,112.20184543019595,-0.31150543577178147+0.20686393688753402j
43,125.89254117941627,-0.3030777379427119+0.2305681651548182j
44,141.2537544622749,-0.2926252555050265+0.2565628809552872j
45,158.48931924611077,-0.27970952905919655+0.2849029040634385j
46,177.8279410038916,-0.2638230276146867+0.3155738015076294j
47,199.5262314968872,-0.24439219797979883+0.34846329004770643j
48,223.87211385683307,-0.2207893641890083+0.38332757839256515j
49,251.188643150957,-0.19235737120358992+0.41975469330208187j
50,281.8382931264442,-0.15845095305532847+0.4571290766032952j
51,316.2277660168366,-0.11849772672342997+0.49460461613315215j
52,354.81338923357396,-0.07207876147520337+0.5310962215528999j
53,398.1071705534955,-0.019023390783615007+0.5653018818289681j
54,446.68359215096115,0.0404943615770589+0.5957660409134563j
55,501.18723362726996,0.10587792757920418+0.6209892500183828j
56,562.3413251903464,0.17607345533392374+0.6395778042791703j
57,630.9573444801902,0.2495998797021144+0.6504124988149833j
58,707.9457843841343,0.32465305261878924+0.6528031232251237j
59,794.3282347242774,0.3992732802909065+0.646591663957653j
60,891.2509381337409,0.4715454519670252+0.6321766995017866j
61,999.9999999999948,0.539789695622891+0.6104521957133937j
62,1122.0184543019575,0.6027038217218281+0.582677537120858j
63,1258.9254117941605,0.6594350079909915+0.5503121439107577j
64,1412.5375446227465,0.7095793573115918+0.5148515880016749j
65,1584.8931924611045,0.7531252039723242+0.4776937940520823j
66,1778.2794100389126,0.7903642289055969+0.44004966870671325j
67,1995.262314968868,0.8217936755321443+0.402898912295205j
68,2238.7211385683268,0.8480266915204788+0.3669827999565613j
69,2511.886431509565,0.8697200537229295+0.33282212661678656j
70,2818.3829312644366,0.8875219981303326+0.300748934218937j
71,3162.27766016836,0.9020386398085322+0.2709431514633409j
72,3548.1338923357325,0.9138154213988277+0.24346829992850366j
73,3981.071705534948,0.9233295421782999+0.2183030531766811j
74,4466.835921509603,0.9309897104517747+0.19536734915858772j
75,5011.872336272691,0.937140314124799+0.1745429536817495j
76,5623.413251903455,0.9420679018682767+0.15568901464377208j
77,6309.573444801892,0.946008558076897+0.13865341266672468j
78,7079.457843841334,0.9491552889363274+0.12328075523639645j
79,7943.282347242763,0.9516649184094286+0.10941778878227791j
80,8912.509381337395,0.9536642488921999+0.09691688059202354j
81,9999.99999999993,0.9552554024639913+0.08563809485182024j
82,11220.184543019557,0.9565203538323831+0.07545026736791416j
83,12589.254117941584,0.957524716943796+0.06623138338198645j
84,14125.375446227443,0.9583208701025401+0.057868482903918377j
85,15848.93192461102,0.9589505105096873+0.05025725521603996j
86,17782.7941003891,0.9594467256746028+0.043301437178912106j
87,19952.62314968865,0.9598356608880805+0.036912094646788005j
88,22387.21138568323,0.9601378516626426+0.031006841691264848j
89,25118.864315095612,0.9603692794599302+0.025509032428544024j
90,28183.829312644324,0.9605421988752445+0.020346948317313963j
91,31622.77660168355,0.9606657752461765+0.015452994188407922j
92,35481.33892335727,0.9607465634387327+0.01076290924575342j
93,39810.71705534941,0.9607888513170543+0.006214995897719164j
94,44668.35921509595,0.9607948849898358+0.0017493654734212886j
95,50118.72336272682,0.9607649871527512-0.002692801299732533j
96,56234.13251903444,0.960697574576182-0.007169982208514457j
97,63095.7344480188,0.9605890757110721-0.011741033530636836j
98,70794.5784384132,0.9604337444570208-0.016465904620717273j
99,79432.82347242747,0.9602233610095869-0.021406348893017228j
100,89125.09381337378,0.9599468053298996-0.026626630530114975j
101,99999.99999999913,0.959589482910618-0.032194223075523866j
102,112201.84543019535,0.9591325760795352-0.03818049105895089j
103,125892.5411794156,0.9585520870230321-0.04466133893943712j
104,141253.75446227414,0.957817631095045-0.05171780168270892j
105,158489.3192461099,0.956890931128534-0.05943653750896798j
106,177827.94100389065,0.9557239560080965-0.06791016426065655j
107,199526.23149688612,0.9542566409515287-0.07723735480719437j
108,223872.11385683186,0.9524141249280432-0.08752257195914433j
109,251188.64315095564,0.9501034459248862-0.09887527715044543j
110,281838.2931264427,0.9472096528940085-0.11140838799140758j
