# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN) W(GDSN)
0.00000000000e+00 3.13651602722e+01 3.01993573232e-12 1.55075181296e-04 2.11576481155e-10 2.08429359070e-10 3.96058703760e-10 3.10898922304e+00 3.75089430726e-02 9.98489211809e-13
1.00000000000e-02 3.15675950284e+01 4.13288351917e-12 1.56171950710e-04 2.11650158804e-10 2.08484145025e-10 3.96009187468e-10 3.08870217333e+00 3.75090491361e-02 1.37544118518e-12
2.00000000000e-02 3.17044354794e+01 5.66713379253e-12 1.57231484142e-04 2.11720886914e-10 2.08540291672e-10 3.95953223514e-10 3.07495993626e+00 3.75091952129e-02 1.89447507956e-12
3.00000000000e-02 3.17944089529e+01 7.78125870448e-12 1.58309721275e-04 2.11788563105e-10 2.08597836579e-10 3.95890166295e-10 3.06577454335e+00 3.75093963674e-02 2.60900273034e-12
4.00000000000e-02 3.18507481600e+01 1.06933364080e-11 1.59490828366e-04 2.11853116533e-10 2.08656816910e-10 3.95819347893e-10 3.05978152497e+00 3.75096733153e-02 3.59242495412e-12
5.00000000000e-02 3.18826715796e+01 1.47031352901e-11 1.60895988068e-04 2.11914507274e-10 2.08717269097e-10 3.95740090537e-10 3.05604515628e+00 3.75100545317e-02 4.94555548913e-12
6.00000000000e-02 3.18964354847e+01 2.02225226515e-11 1.62694488335e-04 2.11972724910e-10 2.08779228474e-10 3.95651724183e-10 3.05393216595e+00 3.75105791368e-02 6.80676625294e-12
7.00000000000e-02 3.18961724535e+01 2.78170356074e-11 1.65117615693e-04 2.12027786459e-10 2.08842728840e-10 3.95553610520e-10 3.05301914689e+00 3.75113008411e-02 9.36582871891e-12
8.00000000000e-02 3.18844819962e+01 3.82626588018e-11 1.68475916708e-04 2.12079733779e-10 2.08907801956e-10 3.95445174921e-10 3.05303009606e+00 3.75122933329e-02 1.28827610721e-11
9.00000000000e-02 3.18628434616e+01 5.26232358180e-11 1.73180408926e-04 2.12128630622e-10 2.08974476974e-10 3.95325947996e-10 3.05379398442e+00 3.75136576171e-02 1.77134316935e-11
1.00000000000e-01 3.18319043053e+01 7.23557886147e-11 1.79768248616e-04 2.12174559465e-10 2.09042779777e-10 3.95195618411e-10 3.05521568974e+00 3.75155319942e-02 2.43442443439e-11
1.10000000000e-01 3.17916738059e+01 9.94534638884e-11 1.88933112084e-04 2.12217618279e-10 2.09112732241e-10 3.95054098367e-10 3.05725669427e+00 3.75181055891e-02 3.34389707943e-11
1.20000000000e-01 3.17416551139e+01 1.36638972526e-10 2.01559988928e-04 2.12257917351e-10 2.09184351402e-10 3.94901602344e-10 3.05992211036e+00 3.75216366325e-02 4.59017357644e-11
1.30000000000e-01 3.16736909223e+01 1.87620014267e-10 2.18241303718e-04 2.12295576254e-10 2.09257648531e-10 3.94738753588e-10 3.06325252584e+00 3.75264765473e-02 6.29594980762e-11
