# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN) W(GDSN)
0.00000000000e+00 1.07226386082e+01 1.58366570046e-13 1.29458813401e-04 2.00345800579e-10 1.99855383775e-10 4.82434764009e-10 1.81303331190e+01 3.38084872548e-02 8.97888935254e-15
1.00000000000e-02 1.34946685630e+01 1.72412632926e-13 1.31693045882e-04 2.00357281786e-10 1.99863921083e-10 4.82431567260e-10 1.44058054352e+01 3.38084898379e-02 1.23025866309e-14
2.00000000000e-02 1.64270776350e+01 1.94054725480e-13 1.34069722577e-04 2.00368303364e-10 1.99872670429e-10 4.82427757373e-10 1.18339677126e+01 3.38084933771e-02 1.68561635146e-14
3.00000000000e-02 1.93236628513e+01 2.26012814540e-13 1.36588513888e-04 2.00378849362e-10 1.99881637666e-10 4.82423227507e-10 1.00598270554e+01 3.38084982261e-02 2.30944403159e-14
4.00000000000e-02 2.19958128608e+01 2.72021023105e-13 1.39248682833e-04 2.00388908738e-10 1.99890828585e-10 4.82417855742e-10 8.83745633915e+00 3.38085048693e-02 3.16402627420e-14
5.00000000000e-02 2.43059700479e+01 3.37188669933e-13 1.41673154410e-04 2.00398475273e-10 1.99900248864e-10 4.82411503836e-10 7.99629772219e+00 3.38085139699e-02 4.33459883904e-14
6.00000000000e-02 2.61936227964e+01 4.28501262685e-13 1.44000082437e-04 2.00407547341e-10 1.99909904009e-10 4.82404016442e-10 7.41832364392e+00 3.38085264340e-02 5.93760389777e-14
7.00000000000e-02 2.76661683369e+01 5.55526350618e-13 1.46473272813e-04 2.00416127596e-10 1.99919799286e-10 4.82395218081e-10 7.02180218852e+00 3.38085435024e-02 8.13244183648e-14
8.00000000000e-02 2.87715541783e+01 7.31366831381e-13 1.49094284179e-04 2.00424222560e-10 1.99929939646e-10 4.82384911988e-10 6.75035777798e+00 3.38085668728e-02 1.11371318607e-13
9.00000000000e-02 2.95764606385e+01 9.73934731153e-13 1.51867045067e-04 2.00431842167e-10 1.99940329629e-10 4.82372878564e-10 6.56495847290e+00 3.38085988673e-02 1.52497513606e-13
1.00000000000e-01 3.01479528811e+01 1.30773814781e-12 1.54798908990e-04 2.00438999270e-10 1.99950973271e-10 4.82358873800e-10 6.43877402973e+00 3.38086426612e-02 2.08776927384e-13
1.10000000000e-01 3.05447957258e+01 1.76628277271e-12 1.57901994357e-04 2.00445709136e-10 1.99961873980e-10 4.82342627832e-10 6.35331542931e+00 3.38087025950e-02 2.85775312358e-13
1.20000000000e-01 3.08142885095e+01 2.39535572839e-12 1.61194894660e-04 2.00451988951e-10 1.99973034409e-10 4.82323843763e-10 6.29585640580e+00 3.38087846000e-02 3.91093048905e-13
