# TEMPERATURE = 2.500000e+01
# X W(GMIDN) W(INN) W(CGSN) W(CGSON) W(CGDON) W(CBDN) W(VEAN) W(VDSATN) W(GDSN)
0.00000000000e+00 3.19775888869e+01 1.30382507465e-10 2.27220000616e-04 2.29246196284e-10 2.21995389089e-10 3.59376234897e-10 3.37063194752e+00 3.47072951065e-02 3.97624273759e-11
1.00000000000e-02 3.19059683047e+01 1.79436798506e-10 2.37809798093e-04 2.29415945770e-10 2.22121613133e-10 3.59357321132e-10 3.37128291464e+00 3.47125332716e-02 5.47118254446e-11
2.00000000000e-02 3.18165545355e+01 2.46753472157e-10 2.51237693098e-04 2.29578899666e-10 2.22250972148e-10 3.59336345173e-10 3.37280142849e+00 3.47197187043e-02 7.52033855049e-11
3.00000000000e-02 3.17089987851e+01 3.38995696169e-10 2.68637455904e-04 2.29734822085e-10 2.22383552698e-10 3.59313676596e-10 3.37512577477e+00 3.47295597936e-02 1.03245020703e-10
4.00000000000e-02 3.15824185010e+01 4.65180880436e-10 2.91523228864e-04 2.29883549809e-10 2.22519440404e-10 3.59289973071e-10 3.37825825816e+00 3.47430133898e-02 1.41544794421e-10
5.00000000000e-02 3.14355740754e+01 6.37470017702e-10 3.21883913311e-04 2.30024990850e-10 2.22658719217e-10 3.59266276636e-10 3.38225575189e+00 3.47613665430e-02 1.93739516697e-10
6.00000000000e-02 3.12649426867e+01 8.72194926214e-10 3.62161774798e-04 2.30159121203e-10 2.22801470552e-10 3.59244123848e-10 3.38722586688e+00 3.47863415342e-02 2.64688023799e-10
7.00000000000e-02 3.10692047036e+01 1.19116509882e-09 4.15562790604e-04 2.30285980069e-10 2.22947772293e-10 3.59225659835e-10 3.39332710163e+00 3.48202270266e-02 3.60837052894e-10
8.00000000000e-02 3.08489820807e+01 1.62341273068e-09 4.86079539862e-04 2.30405663885e-10 2.23097697634e-10 3.59213730704e-10 3.40077418341e+00 3.48660493836e-02 4.90699985339e-10
9.00000000000e-02 3.06031921381e+01 2.20737100509e-09 5.78202861143e-04 2.30518319523e-10 2.23251313762e-10 3.59211934038e-10 3.40984594896e+00 3.49277788201e-02 6.65434736095e-10
1.00000000000e-01 3.03312163295e+01 2.99363093925e-09 6.96801905073e-04 2.30624136996e-10 2.23408680342e-10 3.59224580362e-10 3.42089667002e+00 3.50105778655e-02 8.99545623727e-10
1.10000000000e-01 3.00330847437e+01 4.04840152099e-09 8.46695723767e-04 2.30723342019e-10 2.23569847820e-10 3.59256531430e-10 3.43437065576e+00 3.51210924413e-02 1.21171729682e-09
1.20000000000e-01 2.97096425654e+01 5.45781785898e-09 1.03204287751e-03 2.30816188675e-10 2.23734855503e-10 3.59312909438e-10 3.45081964999e+00 3.52677805503e-02 1.62577959491e-09
1.30000000000e-01 2.93626653797e+01 7.33327655606e-09 1.25565795674e-03 2.30902952443e-10 2.23903729435e-10 3.59398722547e-10 3.47092235314e+00 3.54612666643e-02 2.17179114490e-09
1.40000000000e-01 2.89948790720e+01 9.81801942834e-09 1.51844169181e-03 2.30983923742e-10 2.24076480046e-10 3.59518502152e-10 3.49550472474e+00 3.57147002604e-02 2.88721341149e-09
1.50000000000e-01 2.86098332717e+01 1.30952395405e-08 1.81910743088e-03 2.31059402118e-10 2.24253099591e-10 3.59676056933e-10 3.52555886517e+00 3.60440854325e-02 3.81812699504e-09
1.60000000000e-01 2.82115818222e+01 1.73980406185e-08 2.15427961661e-03 2.31129691134e-10 2.24433559386e-10 3.59874400650e-10 3.56225723347e+00 3.64685363783e-02 5.02041890335e-09
1.70000000000e-01 2.78041470718e+01 2.30216220687e-08 2.51889468518e-03 2.31195093995e-10 2.24617806862e-10 3.60115834945e-10 3.60695788867e+00 3.70104031870e-02 6.56084444435e-09
1.80000000000e-01 2.73907915844e+01 3.03380474771e-08 2.90674922662e-03 2.31255909895e-10 2.24805762484e-10 3.60402118183e-10 3.66119569954e+00 3.76952069365e-02 8.51784191864e-09
1.90000000000e-01 2.69731890688e+01 3.98138239746e-08 3.31105080758e-03 2.31312431053e-10 2.24997316579e-10 3.60734650586e-10 3.72665445857e+00 3.85513263604e-02 1.09819549699e-08
2.00000000000e-01 2.65506606234e+01 5.20302020199e-08 3.72489128185e-03 2.31364940380e-10 2.25192326146e-10 3.61114636383e-10 3.80511602989e+00 3.96093933507e-02 1.40557006933e-08
2.10000000000e-01 2.61196937375e+01 6.77055445188e-08 4.14162129926e-03 2.31413709722e-10 2.25390611746e-10 3.61543214044e-10 3.89838530703e+00 4.09013826123e-02 1.78527188829e-08
