# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP) W(GDSP)
0.00000000000e+00 2.11930424022e+01 5.85183850001e-13 1.51362934373e-04 2.20533316157e-10 2.12033695494e-10 3.36723906630e-10 7.38845145407e+00 -3.22690522205e-02 8.14564391734e-14
1.00000000000e-02 2.36670656625e+01 7.28567917071e-13 1.53896767596e-04 2.20732301785e-10 2.12181659196e-10 3.36727346738e-10 6.61489884324e+00 -3.22690897501e-02 1.13274811755e-13
2.00000000000e-02 2.57924504542e+01 9.29414533845e-13 1.56417650129e-04 2.20923321420e-10 2.12333297799e-10 3.36731093330e-10 6.06852423508e+00 -3.22691419272e-02 1.57511723034e-13
3.00000000000e-02 2.75380175516e+01 1.21006578860e-12 1.58907397027e-04 2.21106098552e-10 2.12488712769e-10 3.36735166822e-10 5.68245671569e+00 -3.22692144613e-02 2.19007687613e-13
4.00000000000e-02 2.89188859101e+01 1.60156183451e-12 1.61349938291e-04 2.21280441853e-10 2.12648004470e-10 3.36739589533e-10 5.40957195917e+00 -3.22693152822e-02 3.04485995237e-13
5.00000000000e-02 2.99785690848e+01 2.14700316684e-12 1.63733005000e-04 2.21446243498e-10 2.12811271302e-10 3.36744386253e-10 5.21661550731e+00 -3.22694554014e-02 4.23282555399e-13
6.00000000000e-02 3.07720896239e+01 2.90622140785e-12 1.66050403566e-04 2.21603475349e-10 2.12978608691e-10 3.36749584991e-10 5.08012283336e+00 -3.22696501044e-02 5.88357098673e-13
7.00000000000e-02 3.13543185971e+01 3.96224588591e-12 1.68305068473e-04 2.21752183366e-10 2.13150107919e-10 3.36755217935e-10 4.98353537050e+00 -3.22699206021e-02 8.17693210251e-13
8.00000000000e-02 3.17737082523e+01 5.43025250969e-12 1.70513133335e-04 2.21892480602e-10 2.13325854768e-10 3.36761322692e-10 4.91516767820e+00 -3.22702963142e-02 1.13623509776e-12
9.00000000000e-02 3.20700586168e+01 7.46991791533e-12 1.72709321839e-04 2.22024539231e-10 2.13505927964e-10 3.36767943885e-10 4.86676175039e+00 -3.22708180266e-02 1.57856422744e-12
1.00000000000e-01 3.22744291489e+01 1.03025017264e-11 1.74954038473e-04 2.22148582006e-10 2.13690397414e-10 3.36775135206e-10 4.83248990436e+00 -3.22715422470e-02 2.19259416496e-12
1.10000000000e-01 3.24102615261e+01 1.42343781948e-11 1.77342639428e-04 2.22264873524e-10 2.13879322197e-10 3.36782962045e-10 4.80823462864e+00 -3.22725472104e-02 3.04466392879e-12
1.20000000000e-01 3.24947549575e+01 1.96894550878e-11 1.80017493237e-04 2.22373711645e-10 2.14072748323e-10 3.36791504863e-10 4.79109112444e+00 -3.22739411418e-02 4.22654774646e-12
1.30000000000e-01 3.25402499640e+01 2.72537102458e-11 1.83183604624e-04 2.22475419307e-10 2.14270706229e-10 3.36800863507e-10 4.77901000909e+00 -3.22758736031e-02 5.86508361058e-12
1.40000000000e-01 3.25553717925e+01 3.77362944492e-11 1.87128776060e-04 2.22570336969e-10 2.14473208024e-10 3.36811162732e-10 4.77055084061e+00 -3.22785510382e-02 8.13536863694e-12
1.50000000000e-01 3.25459536904e+01 5.22531368914e-11 1.92249511382e-04 2.22658815788e-10 2.14680244473e-10 3.36822559254e-10 4.76470752612e+00 -3.22822580076e-02 1.12787931921e-11
1.60000000000e-01 3.25157611591e+01 7.23409931621e-11 1.99084091300e-04 2.22741211632e-10 2.14891781752e-10 3.36835250764e-10 4.76078385165e+00 -3.22873860976e-02 1.56276082596e-11
1.70000000000e-01 3.24670033532e+01 1.00112610184e-10 2.08354388308e-04 2.22817879956e-10 2.15107757982e-10 3.36849487420e-10 4.75831170889e+00 -3.22944731111e-02 2.16382637224e-11
