# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP) W(GDSP)
0.00000000000e+00 4.26920225978e-01 1.83817722589e-13 1.14576422686e-04 2.13427612410e-10 1.96984740221e-10 4.14308947022e-10 6.31033820991e+02 -3.57991326106e-02 2.99585823231e-16
1.00000000000e-02 5.92010986060e-01 1.81754496835e-13 1.15049694595e-04 2.13812558444e-10 1.97270982201e-10 4.14308940091e-10 4.55054418259e+02 -3.57991329400e-02 4.10779103434e-16
2.00000000000e-02 8.18943368355e-01 1.80150411459e-13 1.15567125642e-04 2.14182093928e-10 1.97564333430e-10 4.14308933290e-10 3.28951518230e+02 -3.57991333917e-02 5.63235314084e-16
3.00000000000e-02 1.12924359106e+00 1.79129841199e-13 1.16136604206e-04 2.14535683946e-10 1.97864990198e-10 4.14308926604e-10 2.38555559517e+02 -3.57991340110e-02 7.72262438683e-16
4.00000000000e-02 1.55054794121e+00 1.78865980778e-13 1.16767295849e-04 2.14872958366e-10 1.98173146665e-10 4.14308919940e-10 1.73732841256e+02 -3.57991348601e-02 1.05884487638e-15
5.00000000000e-02 2.11726093856e+00 1.79591306339e-13 1.17469779323e-04 2.15193708592e-10 1.98488993189e-10 4.14308913068e-10 1.27227491096e+02 -3.57991360242e-02 1.45174674142e-15
6.00000000000e-02 2.87010505343e+00 1.81633609241e-13 1.18256185570e-04 2.15497880195e-10 1.98812714377e-10 4.14308905558e-10 9.38520520801e+01 -3.57991376203e-02 1.99039353969e-15
7.00000000000e-02 3.85407604840e+00 1.85435756533e-13 1.19140337039e-04 2.15785562083e-10 1.99144486816e-10 4.14308896683e-10 6.98884087988e+01 -3.57991398084e-02 2.72881969698e-15
8.00000000000e-02 5.11322540630e+00 1.91611485228e-13 1.20137884072e-04 2.16056972964e-10 1.99484476453e-10 4.14308885293e-10 5.26758568474e+01 -3.57991428082e-02 3.74107523267e-15
9.00000000000e-02 6.68198703237e+00 2.00998871816e-13 1.21266434766e-04 2.16312445916e-10 1.99832835592e-10 4.14308869642e-10 4.03068457033e+01 -3.57991469205e-02 5.12862943225e-15
1.00000000000e-01 8.57286220854e+00 2.14749835577e-13 1.22545674925e-04 2.16552411862e-10 2.00189699464e-10 4.14308847172e-10 3.14146861643e+01 -3.57991525575e-02 7.03050672503e-15
1.10000000000e-01 1.07633455851e+01 2.34446376654e-13 1.23997475795e-04 2.16777382678e-10 2.00555182364e-10 4.14308814228e-10 2.50196370584e+01 -3.57991602843e-02 9.63715919684e-15
