# TEMPERATURE = 2.500000e+01
# X W(GMIDP) W(INP) W(CGSP) W(CGSOP) W(CGDOP) W(CBDP) W(VEAP) W(VDSATP) W(GDSP)
0.00000000000e+00 3.36351790898e+01 2.12165833279e-11 2.36503470846e-04 2.48838285508e-10 2.29347989118e-10 2.90051107408e-10 1.70978327077e+00 -4.00806109451e-02 1.27620633870e-11
1.00000000000e-02 3.36370028182e+01 2.96943636177e-11 2.47697915588e-04 2.49294575138e-10 2.29687281501e-10 2.90060469380e-10 1.70735100877e+00 -4.00824986785e-02 1.78870087841e-11
2.00000000000e-02 3.36145831397e+01 4.15579423681e-11 2.61580410553e-04 2.49732598113e-10 2.30035000724e-10 2.90071046865e-10 1.70575116559e+00 -4.00851396012e-02 2.50567576908e-11
3.00000000000e-02 3.35716753996e+01 5.81447445620e-11 2.79214959861e-04 2.50151720378e-10 2.30391379461e-10 2.90083094341e-10 1.70473173296e+00 -4.00888310356e-02 3.50784936030e-11
4.00000000000e-02 3.35102263294e+01 8.13117256655e-11 3.02036963493e-04 2.50551503201e-10 2.30756647858e-10 2.90096942574e-10 1.70412881144e+00 -4.00939855969e-02 4.90723970424e-11
5.00000000000e-02 3.34308823083e+01 1.13631653295e-10 3.31953596881e-04 2.50931699323e-10 2.31131031559e-10 2.90113022058e-10 1.70384055496e+00 -4.01011745630e-02 6.85893816858e-11
6.00000000000e-02 3.33333376464e+01 1.58660193920e-10 3.71452152482e-04 2.51292244223e-10 2.31514749392e-10 2.90131892539e-10 1.70381082924e+00 -4.01111867065e-02 9.57708010453e-11
7.00000000000e-02 3.32165883889e+01 2.21297323809e-10 4.23698177260e-04 2.51633243285e-10 2.31908010684e-10 2.90154279054e-10 1.70401915959e+00 -4.01251075632e-02 1.33563626312e-10
8.00000000000e-02 3.30791212974e+01 3.08273345813e-10 4.92587411922e-04 2.51954955743e-10 2.32311012150e-10 2.90181113841e-10 1.70447569021e+00 -4.01444253773e-02 1.86008023451e-10
9.00000000000e-02 3.29190726246e+01 4.28797808923e-10 5.82693038308e-04 2.52257776402e-10 2.32723934342e-10 2.90213581361e-10 1.70521981225e+00 -4.01711713318e-02 2.58617971577e-10
1.00000000000e-01 3.27343749137e+01 5.95419065456e-10 6.99033160844e-04 2.52542216040e-10 2.33146937585e-10 2.90253160466e-10 1.70632206110e+00 -4.02081030036e-02 3.58879163837e-10
1.10000000000e-01 3.25216729298e+01 8.25152484609e-10 8.46528607079e-04 2.52808881391e-10 2.33580157395e-10 2.90301654101e-10 1.70788893668e+00 -4.02589409204e-02 4.96890964840e-10
1.20000000000e-01 3.22638342722e+01 1.14083436218e-09 1.02843920768e-03 2.53058455457e-10 2.34023699328e-10 2.90361174821e-10 1.71006967140e+00 -4.03286435106e-02 6.86112453948e-10
1.30000000000e-01 3.19760469469e+01 1.57299405452e-09 1.24813937037e-03 2.53291678751e-10 2.34477633255e-10 2.90434125419e-10 1.71306651038e+00 -4.04237761927e-02 9.44363883902e-10
1.40000000000e-01 3.16572525205e+01 2.16229480408e-09 1.50596416059e-03 2.53509331948e-10 2.34941987040e-10 2.90523152066e-10 1.71714798255e+00 -4.05529700624e-02 1.29507134504e-09
1.50000000000e-01 3.13071302986e+01 2.96244479946e-09 1.79975435761e-03 2.53712220259e-10 2.35416739644e-10 2.90631050223e-10 1.72266348530e+00 -4.07274230767e-02 1.76862733071e-09
1.60000000000e-01 3.09262743290e+01 4.04387693070e-09 2.12508513439e-03 2.53901159696e-10 2.35901813681e-10 2.90760679503e-10 1.73005961907e+00 -4.09614694294e-02 2.40393861666e-09
1.70000000000e-01 3.05162904376e+01 5.49828732122e-09 2.47586174484e-03 2.54076965313e-10 2.36397067498e-10 2.90914896179e-10 1.73989660687e+00 -4.12731757816e-02 3.25005344777e-09
1.80000000000e-01 3.00797503172e+01 7.44418961173e-09 2.84505004031e-03 2.54240441386e-10 2.36902286863e-10 2.91096513454e-10 1.75286256748e+00 -4.16849110490e-02 4.36773291180e-09
1.90000000000e-01 2.96199347614e+01 1.00336607694e-08 3.22534655266e-03 2.54392373446e-10 2.37417176426e-10 2.91308289261e-10 1.76978248976e+00 -4.22238106781e-02 5.83077164757e-09
2.00000000000e-01 2.91403161315e+01 1.34604560818e-08 3.60969859594e-03 2.54533522007e-10 2.37941351131e-10 2.91552935196e-10 1.79161781875e+00 -4.29220311340e-02 7.72682214272e-09
2.10000000000e-01 2.86437804162e+01 1.79696245352e-08 3.99166797522e-03 2.54664617843e-10 2.38474327834e-10 2.91833139146e-10 1.81945202890e+00 -4.38166726087e-02 1.01574549941e-08
2.20000000000e-01 2.81316772692e+01 2.38686092425e-08 4.36566436670e-03 2.54786358593e-10 2.39015517438e-10 2.92151595921e-10 1.85445775183e+00 -4.49492469426e-02 1.32372168773e-08
2.30000000000e-01 2.76028971404e+01 3.15395081692e-08 4.72707510089e-03 2.54899406532e-10 2.39564217905e-10 2.92511042419e-10 1.89784243443e+00 -4.63645929479e-02 1.70915432026e-08
2.40000000000e-01 2.70532690440e+01 4.14516512989e-08 5.07231092706e-03 2.55004387310e-10 2.40119608575e-10 2.92914295476e-10 1.95077234141e+00 -4.81091989581e-02 2.18535381312e-08
2.50000000000e-01 2.64755897792e+01 5.41729408252e-08 5.39878335740e-03 2.55101889492e-10 2.40680746239e-10 2.93364291401e-10 2.01427890183e+00 -5.02289810047e-02 2.76598182389e-08
2.60000000000e-01 2.58604837449e+01 7.03776378917e-08 5.70482901775e-03 2.55192464742e-10 2.41246563479e-10 2.93864126625e-10 2.08915619824e+00 -5.27666720320e-02 3.46457755952e-08
2.70000000000e-01 2.51980506861e+01 9.08477367333e-08 5.98959733776e-03 2.55276628511e-10 2.41815869741e-10 2.94417099091e-10 2.17586257624e+00 -5.57590795568e-02 4.29407042840e-08
2.80000000000e-01 2.44799663642e+01 1.16465094400e-07 6.25291777692e-03 2.55354861119e-10 2.42387355617e-10 2.95026750190e-10 2.27444139774e+00 -5.92345371563e-02 5.26632364017e-08
2.90000000000e-01 2.37014944066e+01 1.48192357147e-07 6.49516097771e-03 2.55427609111e-10 2.42959600731e-10 2.95696907186e-10 2.38447470905e+00 -6.32108842293e-02 6.39174733407e-08
3.00000000000e-01 2.28628609782e+01 1.87042461396e-07 6.71710516424e-03 2.55495286821e-10 2.43531085507e-10 2.96431726244e-10 2.50507883040e+00 -6.76942482668e-02 7.67901163333e-08
3.10000000000e-01 2.19696507017e+01 2.34038744036e-07 6.91981552928e-03 2.55558278052e-10 2.44100206963e-10 2.97235736337e-10 2.63494359634e+00 -7.26787845569e-02 9.13488215579e-08
3.20000000000e-01 2.10322011205e+01 2.90169839181e-07 7.10454095738e-03 2.55616937830e-10 2.44665298467e-10 2.98113884410e-10 2.77240915144e+00 -7.81473783332e-02 1.07641925726e-07
3.30000000000e-01 2.00642558240e+01 3.56344883730e-07 7.27262964422e-03 2.55671594181e-10 2.45224653174e-10 2.99071582322e-10 2.91556799823e+00 -8.40731709071e-02 1.25699591551e-07
3.40000000000e-01 1.90812785746e+01 4.33354665011e-07 7.42546315647e-03 2.55722549891e-10 2.45776550591e-10 3.00114756122e-10 3.06237693625e+00 -9.04216669001e-02 1.45536304904e-07
3.50000000000e-01 1.80988161772e+01 5.21843209344e-07 7.56440720616e-03 2.55770084226e-10 2.46319285489e-10 3.01249898302e-10 3.21076400505e+00 -9.71531323797e-02 1.67154535213e-07
3.60000000000e-01 1.71311796671e+01 6.22292322968e-07 7.69077675953e-03 2.55814454602e-10 2.46851198134e-10 3.02484123671e-10 3.35871882850e+00 -1.04225003728e-01 1.90549278123e-07
3.70000000000e-01 1.61905652729e+01 7.35019358237e-07 7.80581289795e-03 2.55855898174e-10 2.47370704650e-10 3.03825229531e-10 3.50435949106e+00 -1.11594080418e-01 2.15713159203e-07
3.80000000000e-01 1.52866132894e+01 8.60186555393e-07 7.91066894209e-03 2.55894633352e-10 2.47876326218e-10 3.05281760828e-10 3.64597385925e+00 -1.19218350753e-01 2.42641796728e-07
3.90000000000e-01 1.44263275379e+01 9.97819060115e-07 8.00640361177e-03 2.55930861235e-10 2.48366715841e-10 3.06863080982e-10 3.78203709203e+00 -1.27058378014e-01 2.71339190543e-07
4.00000000000e-01 1.36142486204e+01 1.14782823298e-06 8.09397933123e-03 2.55964766951e-10 2.48840681464e-10 3.08579449077e-10 3.91120951535e+00 -1.35078240946e-01 3.01823002738e-07
4.10000000000e-01 1.28527768988e+01 1.31003703222e-06 8.17426414052e-03 2.55996520924e-10 2.49297204497e-10 3.10442104122e-10 4.03232010081e+00 -1.43246069879e-01 3.34129703409e-07
4.20000000000e-01 1.21425606982e+01 1.48420484007e-06 8.24803600188e-03 2.56026280042e-10 2.49735452995e-10 3.12463357092e-10 4.14434080507e+00 -1.51534247051e-01 3.68319654909e-07
4.30000000000e-01 1.14828899203e+01 1.67004987760e-06 8.31598857801e-03 2.56054188752e-10 2.50154789136e-10 3.14656691454e-10 4.24635640524e+00 -1.59919349829e-01 4.04482291648e-07
4.40000000000e-01 1.08720581289e+01 1.86726812306e-06 8.37873779834e-03 2.56080380073e-10 2.50554770933e-10 3.17036872910e-10 4.33753357699e+00 -1.68381913432e-01 4.42741617110e-07
4.50000000000e-01 1.03076741748e+01 2.07554829877e-06 8.43682872347e-03 2.56104976529e-10 2.50935148472e-10 3.19620069045e-10 4.41709207590e+00 -1.76906080160e-01 4.83262287288e-07
4.60000000000e-01 9.78691701630e+00 2.29458297052e-06 8.49074236795e-03 2.56128091011e-10 2.51295855216e-10 3.22423979579e-10 4.48428015504e+00 -1.85479189271e-01 5.26256583905e-07
4.70000000000e-01 9.30673526915e+00 2.52407610999e-06 8.54090225714e-03 2.56149827577e-10 2.51636995178e-10 3.25467977865e-10 4.53835584473e+00 -1.94091348156e-01 5.71992605694e-07
4.80000000000e-01 8.86399730364e+00 2.76374763074e-06 8.58768057862e-03 2.56170282174e-10 2.51958826843e-10 3.28773264211e-10 4.57857543300e+00 -2.02735013296e-01 6.20804023615e-07
4.90000000000e-01 8.45559953615e+00 3.01333545941e-06 8.63140385068e-03 2.56189543317e-10 2.52261744829e-10 3.32363031516e-10 4.60419037004e+00 -2.11404599256e-01 6.73101755857e-07
